ColorMorph,ColorMorphNum,Locality,ColorMorph_Locality,Individual,ShellThickness,CS,RW1,RW2,RW3,RW4,RW5,RW6,RW7,RW8,RW9,RW10,RW11,RW12,RW13,RW14,RW15,RW16,RW17,RW18
Lineata,3,Aguncheiro,Lineata_Aguncheiro,8,0.544,1.10897798,0.04533604,0.04447506,0.02907609,-0.01982397,0.01263587,-0.00226542,0.01502126,0.01843741,0.00034676,-0.00076392,0.00035668,0.00397127,0.00540701,-0.00563544,0.00359085,0.00130107,0.00024394,-0.00004096
Lineata,3,Aguncheiro,Lineata_Aguncheiro,9,0.438,1.00283507,0.00397449,0.03554682,-0.01997308,0.02170212,0.02767374,0.00625276,0.00878595,-0.00164377,-0.00703738,0.00483786,-0.00150899,-0.00246977,-0.00118008,0.00450390,-0.00382568,-0.00058071,0.00005597,-0.00003295
Lineata,3,Aguncheiro,Lineata_Aguncheiro,10,0.558,1.00782257,0.02438864,-0.05821486,0.00145560,0.00319399,0.01839682,-0.00647516,-0.00558577,-0.00018316,0.00840513,0.01485416,0.00020158,0.00099153,0.00122230,0.00071396,-0.00250123,0.00316414,-0.00045479,-0.00002260
Lineata,4,Silleiro,Lineata_Silleiro,1,0.558,0.93466170,-0.01959036,-0.06895806,-0.01641121,-0.01756918,0.01447107,-0.01911883,0.00434470,-0.01437312,0.00248140,0.01101347,-0.00296763,0.00006446,0.00157692,-0.00602408,0.00363403,-0.00389757,-0.00061461,0.00018902
Lineata,4,Silleiro,Lineata_Silleiro,2,0.502,0.89295520,-0.07564359,0.01019213,0.00505456,-0.02656451,0.01591912,-0.01279943,0.00400849,-0.01130747,-0.01145082,-0.01142354,-0.00332713,-0.00076049,0.00619940,0.00836574,-0.00567340,0.00354603,0.00004592,0.00007802
Lineata,4,Silleiro,Lineata_Silleiro,3,0.404,0.99848680,0.07932438,-0.03319545,-0.00115038,0.01844406,0.00082490,-0.00111956,-0.00150306,-0.01350183,0.00130598,-0.00707405,-0.00591711,0.00511316,0.00537114,0.00084466,0.00119327,-0.00318535,-0.00061215,-0.00013031
Lineata,4,Silleiro,Lineata_Silleiro,4,0.460,0.88968887,0.02312526,-0.04841617,0.01240567,-0.00495634,-0.02778869,0.01511135,0.00670255,-0.00618446,-0.00517299,-0.00717205,0.00227846,0.00693815,-0.00667971,0.00556714,0.00420849,0.00484229,-0.00051778,-0.00025468
Lineata,4,Silleiro,Lineata_Silleiro,5,0.467,0.88713104,0.08959339,0.00827092,-0.00408803,-0.01925033,-0.00004434,-0.01526443,0.00042870,-0.01750682,0.01351804,-0.01113367,0.00722188,-0.00491142,-0.01027300,-0.00077590,-0.00224970,-0.00147517,-0.00024477,0.00023829
Lineata,4,Silleiro,Lineata_Silleiro,6,0.488,0.90883495,0.00534371,-0.01155473,-0.04175798,0.01062879,0.00369131,0.00272676,0.01435548,0.01324095,0.01747427,-0.00330214,-0.00299277,0.01145152,-0.00454081,0.00118883,-0.00112982,0.00077750,0.00029450,-0.00014475
Lineata,4,Silleiro,Lineata_Silleiro,7,0.435,0.84516501,-0.03614451,-0.00063228,0.06794075,0.00964551,-0.00398502,-0.00999419,0.01050748,-0.00386270,-0.00482576,-0.01150795,-0.00635278,-0.00568691,-0.00427039,-0.00181417,-0.00037596,0.00198129,-0.00009505,-0.00008200
Lineata,4,Silleiro,Lineata_Silleiro,8,0.417,0.79637086,-0.10878540,-0.01852042,0.00647192,0.03092689,0.00203692,-0.01778240,0.01279125,0.00781359,-0.00379169,-0.00001078,0.00896952,0.00500586,-0.00956284,-0.00132897,-0.00044719,-0.00251010,0.00041143,-0.00009480
Lineata,4,Silleiro,Lineata_Silleiro,9,0.522,0.85081889,0.03622635,-0.03091609,-0.01178792,0.05318771,0.00439400,0.00883244,-0.00157450,-0.00809228,0.00260922,-0.00165603,0.00527677,-0.00778747,0.00366389,0.00068632,0.00313576,0.00113460,0.00026843,0.00004711
Lineata,4,Silleiro,Lineata_Silleiro,10,0.508,0.95008968,0.03301851,0.01647202,0.01134866,0.00641345,0.02172091,0.00604429,-0.00342238,-0.00947602,-0.00151564,-0.00768730,-0.00704387,0.00712145,-0.00482851,-0.00476202,0.00569755,0.00026151,0.00031733,-0.00000108
